name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"market for aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire","aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire",Manufacture of other fabricated metal products n.e.c.,2599, Semi-finished products of aluminium or aluminium alloys,41530,MetalAlloy,"Basic metals & alloys, their semi-finished products",506f44d69795f14fc25e9023267253a2,market activity,GLO,1.0,meter,0.0
"market for steel, chromium steel 18/8, hot rolled","steel, chromium steel 18/8, hot rolled",Manufacture of basic iron and steel,2410, Alloy steel in ingots or other primary forms and semi-finished products of alloy steel,41122,MetalAlloy,"Basic metals & alloys, their semi-finished products",8b7d4a871db3aec512b14d038b99017f,market activity,GLO,1.0,kilogram,0.0
"market for impact extrusion of steel, warm, initial warming","impact extrusion of steel, warm, initial warming","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591," Metal forging, pressing, stamping, roll forming and powder metallurgy services",89330,MetalAlloy,"Basic metals & alloys, their semi-finished products",3590d4bdb819bed6e09a621b48557f8c,market activity,GLO,1.0,kilogram,0.0
printed wiring board mounting facility construction,printed wiring board mounting facility,Construction of other civil engineering projects,4290, Other constructions for manufacturing,53269,,,53c43ff9283ffcc74a195c1db4f7b5b9,ordinary transforming activity,GLO,1.0,unit,0.0
"market for tillage, cultivating, chiselling","tillage, cultivating, chiselling",Support activities for crop production,0161, Other support services to crop production,86119,,,41b647a15d387a86601bc87d89d3fca9,market activity,GLO,1.0,hectare,0.0
"electricity voltage transformation from high to medium voltage, aluminium industry","electricity, medium voltage, aluminium industry","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",e7cf7c3791771a92be4fa1b9581ee986,ordinary transforming activity,RoW,1.0,kilowatt hour,0.0
"washing, drying and finishing laundry","washing, drying and finishing laundry",Washing and (dry-) cleaning of textile and fur products,9601," Washing, cleaning and dyeing services",97100,,,c7ea6dda00c229c4b06be5ebc9d1587a,ordinary transforming activity,GLO,1.0,kilogram,0.0
market for light clay brick,light clay brick,Manufacture of clay building materials,2392, Refractory products and structural non-refractory clay products,37300,GlasNonMetal,Glass and other non-metallic products,b1ea4eb7c67ddb12f69f4362bee1fd0d,market activity,GLO,1.0,kilogram,0.0
market for ethephon,ethephon,Manufacture of basic chemicals,2011," Herbicides, anti-sprouting products and plant-growth regulators",34663,Chemical,Chemical products,d1b585e8fa1cf89a4183d8fca28ec4c2,market activity,GLO,1.0,kilogram,0.0
"market for yarn, jute","yarn, jute",Preparation and spinning of textile fibres,1311," Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn",26380,ProcBio,Textile,fef46b4e6d72980f5ced5e3f014e353b,market activity,GLO,1.0,kilogram,0.0
"uranium mine operation, open cast","uranium ore, as U",Mining of uranium and thorium ores,0721, Uranium and thorium ores and concentrates,13000,OreMinFuel,"Ores, minerals & fuels",2a37d9f007d85ada4d1f8ac048713d68,ordinary transforming activity,RoW,1.0,kilogram,0.0
"aircraft production, belly-freight aircraft, short haul","aircraft, belly freight, short haul",Manufacture of air and spacecraft and related machinery,3030, Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg,49623,MachElecTrans,Transport vehicles,a210575b60de608b17ead208b05f8299,ordinary transforming activity,GLO,1.0,unit,0.0
"market for furnace, logs, softwood storage area, 100kW","furnace, logs, softwood storage area, 100kW","Manufacture of ovens, furnaces and furnace burners",2815," Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",43420,MachElecTrans,Metal/electronic equipments and parts,50da30da3ec83d9892cf20eb524ee039,market activity,GLO,1.0,unit,0.0
market for sweet sorghum stem,sweet sorghum stem,"Growing of cereals (except rice), leguminous crops and oil seeds",0111, Other sugar crops n.e.c.,1809,AgriForeAnim,Agricultural and forestry products,1531dd9b908c0c1a7a381343fd10548c,market activity,GLO,1.0,kilogram,0.0
"market for impact extrusion of steel, hot, deformation stroke","impact extrusion of steel, hot, deformation stroke","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591," Metal forging, pressing, stamping, roll forming and powder metallurgy services",89330,MetalAlloy,"Basic metals & alloys, their semi-finished products",24c524c2e0f416b0634377c19dad7dd2,market activity,GLO,1.0,kilogram,0.0
"market for sewer grid, 4.7E10l/year, 583 km","sewer grid, 4.7E10l/year, 583 km",Construction of utility projects,4220, Sewage and water treatment plants,53253,,,c7de4db5024c9baf3533531cde02289d,market activity,GLO,1.0,kilometer,0.0
market for flyash brick,flyash brick,"Manufacture of articles of concrete, cement and plaster",2395," Bricks, blocks, tiles and other ceramic goods of siliceous earths",37310,GlasNonMetal,Glass and other non-metallic products,1e998c6afc352e352f469415b6197451,market activity,RoW,1.0,kilogram,0.0
