name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"limestone, crushed, washed to generic market for supplementary cementitious materials",supplementary cementitious materials,"Manufacture of cement, lime and plaster",2394," Stone, sand and clay",15000,OreMinFuel,"Ores, minerals & fuels",2e4ee7f74a3916927ce0d40957880c5e,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for land tenure, arable land, measured as carbon net primary productivity, perennial crop","land tenure, arable land, measured as carbon net primary productivity, perennial crop",Support activities for crop production,0161, Financial and related services; real estate services; and rental and leasing services,70000,,,4ce2e3086780d8e19b85ab320ad00a84,market activity,BE,1.0,kilogram,1.0
"transport, passenger car, medium size, petrol, EURO 3","transport, passenger car, medium size, petrol, EURO 3",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",75d415dcae1993da3dd3062ec7dfc66a,ordinary transforming activity,RER,1.0,kilometer,1.0
market for lignite briquettes,lignite briquettes,Manufacture of refined petroleum products,1920, Brown coal briquettes and similar solid fuels manufactured from brown coal,11040,OreMinFuel,"Ores, minerals & fuels",48b5d2027ec4e7138095d8fed6a514ee,market activity,RER,1.0,megajoule,1.0
"market for concrete, 30MPa","concrete, 30MPa","Manufacture of articles of concrete, cement and plaster",2395, Non-refractory mortars and concretes,37510,GlasNonMetal,Glass and other non-metallic products,8b44493144d2dfd469dc85ae919803d5,market activity,AT,1.0,cubic meter,1.0
"treatment of waste gypsum, sanitary landfill",waste gypsum,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,42c148813a0c70d0330e86b8ae8b05bc,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, sanitary landfill",waste emulsion paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c6fe44c021477067884b9fdc918781f6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted","electricity, low voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",f1091f9165210125b902cd8ce8ceb8c1,ordinary transforming activity,CZ,1.0,kilowatt hour,1.0
airport construction,airport,Construction of roads and railways,4210, Airfield runways,53213,,,0072d78482ec719c3ba59b991cdc5b89,ordinary transforming activity,RER,1.0,unit,1.0
"treatment of sewage sludge, 97% water, WWT, WW from particle board production, landfarming","sewage sludge, 97% water, WWT, WW from particle board production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,d342b2fe223d420f3970fee6c1199d2e,ordinary transforming activity,RER,-1.0,kilogram,1.0
"impact extrusion of steel, cold, 4 strokes","impact extrusion of steel, cold, 4 strokes","Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591," Metal forging, pressing, stamping, roll forming and powder metallurgy services",89330,MetalAlloy,"Basic metals & alloys, their semi-finished products",5b5147c88f370e1f87b6bac702083166,ordinary transforming activity,RER,1.0,kilogram,1.0
nylon 6-6 production,nylon 6-6,Manufacture of plastics and synthetic rubber in primary forms,2013, Plastics in primary forms,34700,PlastRub,Plastics & rubber products,df52346edf78b4acc7cffbb9fe60758c,ordinary transforming activity,RER,1.0,kilogram,1.0
"window frame production, poly vinyl chloride, U=1.6 W/m2K","window frame, poly vinyl chloride, U=1.6 W/m2K",Manufacture of plastics products,2220, Articles of plastics n.e.c.,36990,PlastRub,Plastics & rubber products,8b1f301c70f61bb0ae0b4d03bc247098,ordinary transforming activity,RER,1.0,square meter,1.0
"aluminium turning, primarily roughing, conventional","aluminium removed by turning, primarily roughing, conventional",Treatment and coating of metals; machining,2592, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,1c77880d404b52ab8d85f313debe92f7,ordinary transforming activity,RER,1.0,kilogram,1.0
"acetic anhydride production, ketene route",acetic anhydride,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,Chemical,Chemical products,1a1ac2c21cab238df606a66078becc5a,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, Avent E 97",used blower and heat exchange unit Avent E 97,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,a2ac2b7112891287e55175118aac28dd,ordinary transforming activity,CH,-1.0,unit,1.0
"aluminium turning, primarily roughing, computer numerical controlled","aluminium removed by turning, primarily roughing, computer numerical controlled",Treatment and coating of metals; machining,2592, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,417e159e5babad992c3314bf8820af61,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for electricity, medium voltage, renewable energy products","electricity, medium voltage, renewable energy products","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",8a7ce8a9a75c96bfa58d700a6921270c,market activity,CH,1.0,kilowatt hour,1.0
"optical brighteners production, for paper production","optical brighteners, for paper production",Manufacture of basic chemicals,2011, Basic chemicals,34000,Chemical,Chemical products,7ac96c388cbd05fe40fece6c1441f167,ordinary transforming activity,RER,1.0,kilogram,1.0
"maintenance, micro gas turbine, 100kW electrical","maintenance, micro gas turbine, 100kW electrical",Repair of electrical equipment,3314, Maintenance and repair services of electrical machinery and apparatus n.e.c.,87152,,,559d9af1007a42ecfcc587f5bf62cc0c,ordinary transforming activity,CH,1.0,unit,1.0
"market for energy and auxilliary inputs, metal working machine","energy and auxilliary inputs, metal working machine",Manufacture of other fabricated metal products; metalworking service activit,259, Machine-tools for working metal; machine-tools for working any material by laser or similar process,44210,MachElecTrans,Metal/electronic equipments and parts,b1f9cee8fcf34acb8baa1c833df26666,market activity,RER,1.0,kilogram,1.0
"treatment of sewage sludge, 70% water, WWT, WW from liquid crystal production, municipal incineration FAE","sewage sludge, 70% water, WWT, WW from liquid crystal production",Treatment and disposal of non-hazardous waste,3821, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,9cd2ce14824c53f07e6d8b4cb91b675e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"heat and power co-generation, oil","heat, district or industrial, other than natural gas","Electric power generation, transmission and distribution",3510, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",7e04a6e8229cc642f8d511541d5cd2e2,ordinary transforming activity,NL,1.0,megajoule,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from CRT production, slag compartment","bottom ash, MSWI[F]-WWT, WW from CRT production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,c9304aa5f8293ec71df841b201376af3,ordinary transforming activity,CH,-1.0,kilogram,1.0
core board production,core board,"Manufacture of pulp, paper and paperboard",1701," Pulp, paper and paperboard",32100,ProcBio,Pulp & paper,7ce000df430bb7b29a5f5cb97f8faafb,ordinary transforming activity,RER,1.0,kilogram,1.0
"transport, passenger car, small size, diesel, EURO 4","transport, passenger car, small size, diesel, EURO 4",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",3ccb09c378eae01c5fba20a9b44a7c98,ordinary transforming activity,RER,1.0,kilometer,1.0
"market for sawnwood, board, softwood, dried (u=20%), planed","sawnwood, board, softwood, dried (u=20%), planed",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",31101,ProcBio,"Wood, straw & cork",ec7c46a8b0184403ce41a6d8d0aaef87,market activity,Europe without Switzerland,1.0,cubic meter,1.0
market for sulfuric acid,sulfuric acid,Manufacture of fertilizers and nitrogen compounds,2012," Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",34231,Chemical,Chemical products,69b96727589a02e597326710a6153ad3,market activity,RER,1.0,kilogram,1.0
"nutrient supply from phosphoric acid, fertiliser grade, without water, in 70% solution state","inorganic phosphorus fertiliser, as P2O5",Support activities for crop production,0161," Mineral or chemical fertilizers, phosphatic",34620,Chemical,Chemical products,0ea168c35ae888a337ad7edf7a235690,ordinary transforming activity,RER,1.0,kilogram,1.0
"steel turning, primarily dressing, computer numerical controlled","steel removed by turning, primarily dressing, computer numerical controlled",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,1ceb9313cac3beedf6294ba5112d60ed,ordinary transforming activity,RER,1.0,kilogram,1.0
"market for cement, CEM V/A","cement, CEM V/A","Manufacture of cement, lime and plaster",2394," Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",37440,GlasNonMetal,Glass and other non-metallic products,1c2ed4f95a13f0a25e2ea7253fec6ed9,market activity,CH,1.0,kilogram,1.0
"planing, beam, hardwood, u=20%","sawnwood, beam, hardwood, dried (u=20%), planed",Sawmilling and planing of wood,1610," Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",31102,ProcBio,"Wood, straw & cork",693d7a1cdafbb03704c55d5b2527cfbf,ordinary transforming activity,Europe without Switzerland,1.0,cubic meter,1.0
nutrient supply from NPK (15-15-15) fertiliser,"inorganic potassium fertiliser, as K2O",Support activities for crop production,0161," Mineral or chemical fertilizers, potassic",34630,Chemical,Chemical products,86f4dd78a18f68343edd5db9517869fa,ordinary transforming activity,RER,1.0,kilogram,1.0
NPK (15-15-15) fertiliser production,NPK (15-15-15) fertiliser,Manufacture of fertilizers and nitrogen compounds,2012, Fertilizers containing three nutrients,34641,Chemical,Chemical products,9829c8754f307d8227229079a5a7fce1,ordinary transforming activity,RER,1.0,kilogram,1.0
"dried roughage store construction, non ventilated","dried roughage store, non ventilated",Construction of buildings,4100, Industrial buildings,53121,,,84fc68799946a4812da28286038a87ee,ordinary transforming activity,CH,1.0,cubic meter,1.0
market for waste packaging paper,waste packaging paper,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of paper or paperboard,39240,WasteTreatment,Waste treatment & disposal,b926d86f1b58d199b3ba1ad86ee350d6,market activity,ES,-1.0,kilogram,1.0
isobutyl acetate production,isobutyl acetate,Manufacture of basic chemicals,2011," Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",34140,Chemical,Chemical products,974f929690cce36dff2d99b28bceaf08,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of waste polyvinylchloride, municipal incineration with fly ash extraction",waste polyvinylchloride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,fb1c96049a4dd6938d129caa207312c6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"compressed air production, 600 kPa gauge, >30kW, best generation","compressed air, 600 kPa gauge",Manufacture of basic chemicals,2011, Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],34250,Chemical,Chemical products,28e66cd469c2664b46058eaf83b09224,ordinary transforming activity,RER,1.0,cubic meter,1.0
"market for waste bulk iron, excluding reinforcement","waste bulk iron, excluding reinforcement",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,d542441b6e2f56701a642374c28015ea,market activity,Europe without Switzerland,-1.0,kilogram,1.0
"heating and sanitary equipment production, mini CHP plant","heating and sanitary equipment, mini CHP plant",Construction of utility projects,4220, Power plants,53262,,,b2ee0931cd575002d7fd54dc55ed76d2,ordinary transforming activity,CH,1.0,unit,1.0
"laminated timber element production, for outdoor use","laminated timber element, transversally prestressed, for outdoor use",Manufacture of veneer sheets and wood-based panels,1621," Other plywood, veneered panels and similar laminated wood, except of bamboo",31420,ProcBio,"Wood, straw & cork",c111f18520282195c89ecdf83fa45101,ordinary transforming activity,RER,1.0,cubic meter,1.0
"heat production, wood pellet, at furnace 25kW","heat, central or small-scale, other than natural gas",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",312bd61c85b4f8553a50dd25086b0def,ordinary transforming activity,CH,1.0,megajoule,1.0
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O",Support activities for crop production,0161," Mineral or chemical fertilizers, potassic",34630,Chemical,Chemical products,c4ad198bb6c6c2fb21b8ecdedffcc09e,market activity,HU,1.0,kilogram,1.0
market for irrigation,irrigation,Support activities for crop production,0161, Other support services to crop production,86119,,,a97de5c138d7ed00c4ba7bfce28898b3,market activity,DE,1.0,cubic meter,1.0
"cement production, CEM V/B","cement, CEM V/B","Manufacture of cement, lime and plaster",2394," Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",37440,GlasNonMetal,Glass and other non-metallic products,308f4991981a43b91cd1fbc0733c813d,ordinary transforming activity,CH,1.0,kilogram,1.0
fibre cement facing tile production,fibre cement facing tile,"Manufacture of articles of concrete, cement and plaster",2395," Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",37540,GlasNonMetal,Glass and other non-metallic products,574cbd6a6ce5353a4df5a913d232eda7,ordinary transforming activity,CH,1.0,kilogram,1.0
"treatment of hard coal ash, residual material landfill",hard coal ash,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,31a1b5cc0a4b2e06b21abac2a39ea5cd,ordinary transforming activity,BE,-1.0,kilogram,1.0
bisphenol A epoxy based vinyl ester resin production,bisphenol A epoxy based vinyl ester resin,Manufacture of plastics and synthetic rubber in primary forms,2013, Other plastics in primary forms; ion exchangers,34790,PlastRub,Plastics & rubber products,86a230d49769e48f15c0ee60104bb3b5,ordinary transforming activity,RER,1.0,kilogram,1.0
methyl tert-butyl ether production,methyl tert-butyl ether,Manufacture of basic chemicals,2011," Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",34170,Chemical,Chemical products,2b88b3ea11f3dca1173fc0f15317b9f4,ordinary transforming activity,RER,1.0,kilogram,1.0
market for sodium amide,sodium amide,Manufacture of basic chemicals,2011, Basic inorganic chemicals n.e.c.,34200,Chemical,Chemical products,e231723452497cf9540533d4245bdbcb,market activity,RER,1.0,kilogram,1.0
"treatment of biowaste, industrial composting",biowaste,Treatment and disposal of non-hazardous waste,3821, Wastes from food and tobacco industry,39100,WasteTreatment,Waste treatment & disposal,486ede05e22550999019e2a2d14dc066,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of low level radioactive waste, plasma torch incineration",low level radioactive waste,Treatment and disposal of hazardous waste,3822," Other radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures cont[…]",33690,OreMinFuel,"Ores, minerals & fuels",50e323bad24afd6c94dbfd667f880e0b,ordinary transforming activity,CH,-1.0,cubic meter,1.0
"natural gas production, medium pressure, vehicle grade","natural gas, medium pressure, vehicle grade",Manufacture of gas; distribution of gaseous fuels through mains,3520, Gas distribution through mains (on own account),69120,OreMinFuel,"Ores, minerals & fuels",34f795027dda7fb06378b8cb8afa55ea,ordinary transforming activity,CH,1.0,kilogram,1.0
"wood preservation, hot/cold dipping, creosote, outdoor use, ground contact","wood preservation, hot/cold dipping, creosote, outdoor use, ground contact",Sawmilling and planing of wood,1610, Painting services,54730,,,6b4d94415efb69e92e15c7e0b524df03,ordinary transforming activity,RER,1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT[R], WW from anaerobic digestion of whey, slag compartment","bottom ash, MSWI[F]-WWT[R], WW from anaerobic digestion of whey",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,7da7c950e03914b4d979018d32a72cb1,ordinary transforming activity,CH,-1.0,kilogram,1.0
"outside air intake production, stainless steel, DN 370","outside air intake, stainless steel, DN 370",Manufacture of other general-purpose machinery,2819, Parts of producer gas or water gas generators; parts of acetylene gas generators and similar water process gas[…],43941,MachElecTrans,Metal/electronic equipments and parts,7a8f419fa3f5835a8f2e221f059bf361,ordinary transforming activity,RER,1.0,unit,1.0
"heat storage production, 2000l","heat storage, 2000l","Manufacture of tanks, reservoirs and containers of metal",2512," Containers for compressed or liquefied gas, of iron, steel or aluminium",42220,ProcBio,"Food & beverages, animal feed",ed97f0247b84e079423c1dbea788db16,ordinary transforming activity,CH,1.0,unit,1.0
latex production,latex,Manufacture of plastics and synthetic rubber in primary forms,2013, Other plastics in primary forms; ion exchangers,34790,PlastRub,Plastics & rubber products,ba47479f6cb5ec594f09f256f6b55e82,ordinary transforming activity,RER,1.0,kilogram,1.0
"haying, by rotary tedder","haying, by rotary tedder",Support activities for crop production,0161, Other support services to crop production,86119,,,7572c5509a7aab0623dad3744f2d9bef,ordinary transforming activity,CH,1.0,hectare,1.0
"treatment of waste paperboard, inert material landfill",waste paperboard,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of paper or paperboard,39240,WasteTreatment,Waste treatment & disposal,4fbb0f3411ab6f9f4ee1381903ff732a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"packing, lime product","packing, lime product",Packaging activities,8292, Packaging services,85400,,,0dc10651ac679192b8430a6c24e041b3,ordinary transforming activity,CH,1.0,kilogram,1.0
"insulation spiral-seam duct production, rockwool, DN 400, 30 mm","insulation spiral-seam duct, rockwool, DN 400, 30 mm",Manufacture of other general-purpose machinery,2819," Non-metallic mineral products n.e.c. (including mineral wool, expanded mineral materials, worked mica, article[…]",37990,GlasNonMetal,Glass and other non-metallic products,b9ac982fca37777fa181576c855db8c7,ordinary transforming activity,RER,1.0,meter,1.0
"boric acid production, anhydrous, powder","boric acid, anhydrous, powder",Mining of chemical and fertilizer minerals,0891, Basic chemicals,34000,Chemical,Chemical products,aa3dc9ef4874c3ebf1cff84b0dab455b,ordinary transforming activity,RER,1.0,kilogram,1.0
market for dichloromethane,dichloromethane,Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,Chemical,Chemical products,66f8d12c4cfcb43bcf20a8489d2a8691,market activity,RER,1.0,kilogram,1.0
"market for cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049","cement, ZN/D, new alternative constituents 36-50%, in conformity with SIA 2049","Manufacture of cement, lime and plaster",2394," Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",37440,GlasNonMetal,Glass and other non-metallic products,9e8ba7f9cce6d96b53b8b29ece7fb8c0,market activity,CH,1.0,kilogram,1.0
"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",05f8d1ed005233feff4d22fec25596a5,ordinary transforming activity,NL,1.0,kilowatt hour,1.0
"uranium fuel element production, enriched 4.2%, for light water reactor","uranium, enriched 4.2%, in fuel element for light water reactor",Manufacture of basic chemicals,2011," Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]",33620,OreMinFuel,"Ores, minerals & fuels",86dfa7a293f77c60614460448f03e938,ordinary transforming activity,CH,1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from grass refinery, slag compartment","bottom ash, MSWI[F]-WWT, WW from grass refinery",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,34b2f542beade886b6241d32ed876aaa,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of wastewater, average, wastewater treatment","wastewater, average",Sewerage,3700, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,4ca3d4146bc821d46f2a1e01719df961,ordinary transforming activity,CH,-1.0,cubic meter,1.0
"market for toluene, liquid","toluene, liquid",Manufacture of basic chemicals,2011," Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",34110,Chemical,Chemical products,fe1d662c398acdd985a2498fedad2ccc,market activity,RER,1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from PV cell production, slag compartment","bottom ash, MSWI[F]-WWT, WW from PV cell production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,f38d427c4439c778b87f89fa2b801752,ordinary transforming activity,CH,-1.0,kilogram,1.0
"concrete production, 30MPa, for drilled piles, with cement ZN/D","concrete, 30MPa","Manufacture of articles of concrete, cement and plaster",2395, Non-refractory mortars and concretes,37510,GlasNonMetal,Glass and other non-metallic products,6d9def7b6d417ac3682e62a46d6c6941,ordinary transforming activity,CH,1.0,cubic meter,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW from LCD backlight production, slag compartment","bottom ash, MSWI[F]-WWT, WW from LCD backlight production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,965263ac52b81c1bef98333ff67e6045,ordinary transforming activity,CH,-1.0,kilogram,1.0
"greenhouse construction, plastic walls and roof, metal tubes","greenhouse, plastic walls and roof",Construction of buildings,4100," Prefabricated buildings, of plastics",38703,,,44450c768df13701df55f871a4dae072,ordinary transforming activity,FR,1.0,square meter-year,1.0
"photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof","photovoltaic slanted-roof installation, 3kWp, a-Si, panel, mounted, on roof",Installation of industrial machinery and equipment,3320, Installation services of electrical machinery and apparatus n.e.c.,87360,,,5ca95e3e38bc09d9eb64ba94f9ca1c77,ordinary transforming activity,CH,1.0,unit,1.0
"transport, passenger car, EURO 5","transport, passenger car, EURO 5",Other passenger land transport,4922," Other land transportation services of passengers, n.e.c.",64119,OreMinFuel,"Ores, minerals & fuels",7b6aa4e78fda19c1f43b46d0fd32e4e0,ordinary transforming activity,RER,1.0,kilometer,1.0
"sputtering, indium tin oxide, for liquid crystal display","sputtering, indium tin oxide, for liquid crystal display",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",4c9acd254eb1551f210e1fa2046e84e2,ordinary transforming activity,RER,1.0,cubic meter,1.0
market for ethoxylated alcohol (AE7),ethoxylated alcohol (AE7),"Manufacture of soap and detergents, cleaning and polishing preparations, pe",2023," Soap, cleaning preparations, perfumes and toilet preparations",35300,Chemical,Chemical products,bf11473ec4593f08ebf24ca2b231fcb7,market activity,RER,1.0,kilogram,1.0
"market for soybean, Swiss integrated production","soybean, Swiss integrated production","Growing of cereals (except rice), leguminous crops and oil seeds",0111," Soya beans, other",1412,AgriForeAnim,Agricultural and forestry products,6e86a298f7e2785c8a2b04949b42e23f,market activity,CH,1.0,kilogram,1.0
"treatment of bottom ash, MSWI-WWT, WW from particle board production, slag compartment","bottom ash, MSWI-WWT, WW from particle board production",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,30ed2ee3655840b05a3fbe22c06b2818,ordinary transforming activity,RER,-1.0,kilogram,1.0
"heat production, at solar+gas heating, flat plate, one-family house, combined system","heat, solar+gas, one-family house, for combined system",Steam and air conditioning supply,3530, Steam and hot water,17300,OreMinFuel,"Ores, minerals & fuels",d280ea8e964ec7c41cd3665d9212729a,ordinary transforming activity,CH,1.0,megajoule,1.0
acetaldehyde oxidation,acetic anhydride,Manufacture of basic chemicals,2011, Industrial monocarboxylic fatty acids; acid oils from refining,34120,Chemical,Chemical products,5dcad6c1c171efe1965d4e5f5c653b27,ordinary transforming activity,RER,1.0,kilogram,1.0
"lightweight concrete block production, pumice","lightweight concrete block, pumice",Manufacture of other non-metallic mineral products n.e.c.,2399, Other non-metallic mineral products n.e.c.,37900,GlasNonMetal,Glass and other non-metallic products,1e5a03a31e41493dc4842a14b8ae8065,ordinary transforming activity,DE,1.0,kilogram,1.0
phthalimide-compound production,phthalimide-compound,Manufacture of pesticides and other agrochemical products,2021, Fungicides,34662,Chemical,Chemical products,98f019995e85a230020654652b063dd5,ordinary transforming activity,RER,1.0,kilogram,1.0
"glass wool mat production, with phenolic binder, uncoated, Saint-Gobain ISOVER SA","glass wool mat, uncoated, Saint-Gobain ISOVER SA",Manufacture of other non-metallic mineral products n.e.c.,2399," Voiles, webs, mats, mattresses, boards and other articles of glass fibres, except woven fabrics",37129,GlasNonMetal,Glass and other non-metallic products,ed186adfc094dd3fd4f6a5a4ebac15d6,ordinary transforming activity,CH,1.0,kilogram,1.0
"soybean seed production, organic, for sowing","soybean seed, organic, for sowing",Seed processing for propagation,0164," Soya beans, seed for planting",1411,AgriForeAnim,Agricultural and forestry products,97ad792f8609d1d93e2cf000fc9b2881,ordinary transforming activity,CH,1.0,kilogram,1.0
"treatment of wastewater from anaerobic digestion of whey, wastewater treatment, rural",wastewater from anaerobic digestion of whey,Sewerage,3700, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,e0070d13308c82466664f46a545780f8,ordinary transforming activity,CH,-1.0,cubic meter,1.0
"treatment of waste plastic plaster, inert material landfill","waste plastic plaster, for final disposal",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,6a8da67499c41c4d54e008c731c4856f,ordinary transforming activity,CH,-1.0,kilogram,1.0
market for medium density fibreboard,medium density fibreboard,Manufacture of veneer sheets and wood-based panels,1621, Medium density fibreboard (MDF),31441,ProcBio,"Wood, straw & cork",3bb991f82f5809fbb6a5868d9ec56794,market activity,RER,1.0,cubic meter,1.0
"treatment of waste newspaper, municipal incineration",waste newspaper,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of paper or paperboard,39240,WasteTreatment,Waste treatment & disposal,206b422ff7ca0eba69d7915af52539ba,ordinary transforming activity,CH,-1.0,kilogram,1.0
"market for sawdust, wet, measured as dry mass","sawdust, wet, measured as dry mass",Sawmilling and planing of wood,1610, Sawdust and wood waste and scrap,39280,WasteTreatment,Waste treatment & disposal,7551e7cd303c2dafb4a6b47c571daaa0,market activity,Europe without Switzerland,1.0,kilogram,1.0
"photovoltaic cell production, single-Si wafer","photovoltaic cell, single-Si wafer",Manufacture of electronic components and boards,2610," Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",47150,MachElecTrans,Metal/electronic equipments and parts,43ffba2cb352ccf1f52da898420fd375,ordinary transforming activity,RER,1.0,square meter,1.0
"welding, gas, steel","welding, gas, steel",Treatment and coating of metals; machining,2592, Metal treatment and coating services,88731,MetalAlloy,"Basic metals & alloys, their semi-finished products",deb55a497e00a3fe6d1ce64afcb57d63,ordinary transforming activity,RER,1.0,meter,1.0
"market for sewage sludge, dried","sewage sludge, dried","Manufacture of cement, lime and plaster",2394, Sewage sludge,39920,WasteTreatment,Waste treatment & disposal,0fa645028ed94881708cf59f0daa4d33,market activity,CH,-1.0,kilogram,1.0
"cast iron milling, small parts","cast iron removed by milling, small parts",Treatment and coating of metals; machining,2592," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,ec0b4dc9bd3b31fa8e5e005b4893bb9a,ordinary transforming activity,RER,1.0,kilogram,1.0
"maintenance, train, passenger, regional","maintenance, train, passenger, regional","Repair of transport equipment, except motor vehicles",3315, Maintenance and repair services of other transport equipment,87149,,,a289434c78cde58aa760448deee11c84,ordinary transforming activity,CH,1.0,unit,1.0
