name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code_EI,activity type,location,production amount,unit,priority
"treatment of bottom ash, MSWI[F]-WWT, WW from wafer fabrication, slag compartment","bottom ash, MSWI[F]-WWT, WW from wafer fabrication",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5060040eccdeca0a6d0a3deadb455846,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from shredder fraction from manual dismantling, municipal incineration with fly ash extraction",residue from shredder fraction from manual dismantling,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,2b84e286f1b4eb4df52cfd2b9582bf32,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste bitumen, sanitary landfill",waste bitumen,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,5a63f8b394a5e1969956fde8baef335c,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste reinforcement steel, sorting plant",waste reinforcement steel,Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,0c19de54f2f1a9556e4b1892c6ef5582,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of aluminium scrap, post-consumer, by collecting, sorting, cleaning, pressing","aluminium scrap, post-consumer",Materials recovery,3830, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,4423c1545380f3610f09986ae6bc1468,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste textile, soiled, municipal incineration with fly ash extraction","waste textile, soiled",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,918fb83fcc33ae61d107ab7d98744a8c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of spent activated carbon with mercury, underground deposit",spent activated carbon with mercury,Treatment and disposal of non-hazardous waste,3821, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,5e4ffd31265db0c6c3e5e38853cd1847,ordinary transforming activity,DE,-1.0,kilogram,1.0
"treatment of pollutant from rail ballast, residual material landfill",pollutant from rail ballast,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,ba77a4752153361d383e63689459a1f9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of metal scrap, mixed, for recycling, unsorted, sorting","tinplate, in mixed metal scrap",Materials recovery,3830, Waste and scrap of tin,39366,WasteTreatment,Waste treatment & disposal,4a2332502df96b8d22513d63afba4f06,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste bitumen sheet, municipal incineration",waste bitumen sheet,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,5817578cc25dfd96653b42f2f5a50ea4,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, WW, average, slag compartment","bottom ash, MSWI[F]-WWT, WW, average",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,cdb92dd572cbb36044b92d0cae8f1069,ordinary transforming activity,CH,-1.0,kilogram,1.0
"blast furnace dust to market for blast furnace dust, for recovery",blast furnace dust,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,c078cd4307b8f140ef304f8794ac3920,ordinary transforming activity,RER,-1.0,kilogram,1.0
treatment of used light commercial vehicle,used light commercial vehicle,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,4d557ae6cf9d1c16415080391ee9df22,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of residue from mechanical treatment, cathode ray tube display, municipal incineration with fly ash extraction","residue from mechanical treatment, cathode ray tube display",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,cad3aa75742c06401f60da27fbcdb042,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, municipal incineration with fly ash extraction",waste emulsion paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,30d46863c8b8e57b58c4c77a3a34d992,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap copper, municipal incineration with fly ash extraction",scrap copper,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of copper,39361,WasteTreatment,Waste treatment & disposal,d7175d08333182ae5beeacf81234a0cb,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of hazardous waste, hazardous waste incineration, with energy recovery","hazardous waste, for incineration",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,0786856a4183cc724e53d68ed3337e02,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, IT accessory, municipal waste incineration","residue from mechanical treatment, IT accessory",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,419605d78f47d496272b1974a2f01c8d,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene/polypropylene product, collection for final disposal",waste polyethylene/polypropylene product,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,97f8c634cef1dd87ab1adaafb1d20b7d,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste cement-fibre slab, collection for final disposal",waste cement-fibre slab,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,0c58e52f584ff07d6ec7a7f5820d839b,ordinary transforming activity,CH,-1.0,kilogram,1.0
treatment of copper scrap by electrolytic refining,"copper scrap, sorted, pressed",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of copper,39361,WasteTreatment,Waste treatment & disposal,4dd36d1d8773bf0f1bbe90c6f4e2ffa6,ordinary transforming activity,RER,-1.0,kilogram,1.0
treatment of used bicycle,used bicycle,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,ed555bc17c75811bc1f669002ed512e2,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste asphalt, sanitary landfill",waste asphalt,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,ae528940d23c1190b7e19cc773c3f745,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of inert waste, sanitary landfill",inert waste,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,89f551fcd9dc33c322f9f76b5d1c0e58,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint, hazardous waste incineration",waste paint,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,148a06893ea8d331420b13858d40fb8d,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste emulsion paint, hazardous waste incineration",waste emulsion paint,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,95c8e782d2b1f226079541c0106a6b2b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used toner module, laser printer, black/white, recycling","used toner module, laser printer, black/white",Manufacture of office machinery and equipment (except computers and periphe,2817, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,72e2936dbb1a7b6670ea7910e1cfea65,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste polystyrene, sanitary landfill",waste polystyrene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,873d229004065f6c83845ae52bc82480,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic, mixture, municipal incineration","waste plastic, mixture",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,ff02599aec5de6a691980347d655188b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used liquid crystal display module, municipal waste incineration",used liquid crystal display module,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,2dc11117c11738a19e748b3e6471bf48,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of spent solvent mixture, hazardous waste incineration",spent solvent mixture,Treatment and disposal of hazardous waste,3822, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,ed2c161bb7a379608cf3ec149066b89e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, cathode ray tube display, municipal waste incineration","residue from mechanical treatment, cathode ray tube display",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,6dfca6e4c9a4ec6dc76d82204f47ccc6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of fly ash and scrubber sludge, hazardous waste incineration",fly ash and scrubber sludge,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,eeec6eb37136e1aca17c0edbe6651006,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used liquid crystal display module, municipal incineration with fly ash extraction",used liquid crystal display module,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,8f920b82c0adfbd4e13a8077661d942c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bilge oil, hazardous waste incineration, with energy recovery",bilge oil,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,be11668b4a1c7a89743e5ed339401b98,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of lignite ash, municipal incineration",lignite ash,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,92a433018c17785e779c2da4a907acd2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyethylene terephthalate, sanitary landfill",waste polyethylene terephthalate,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,97b972b2da70cd1584a35220ae54a9a6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste gypsum plasterboard, recycling",waste gypsum plasterboard,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,2d38ef0af8efe7d93d091ac49b150a5c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of spent oxychlor catalyst, underground deposit",spent oxychlor catalyst,Treatment and disposal of non-hazardous waste,3821, Wastes from chemical or allied industries,39950,WasteTreatment,Waste treatment & disposal,b17f2cad46608c312ac09149d5b06f33,ordinary transforming activity,DE,-1.0,kilogram,1.0
"treatment of waste bulk iron, excluding reinforcement, sorting plant","waste bulk iron, excluding reinforcement",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,73cdff65a6fccc25d2b1ea721f733ed9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint on wall, sorting plant","waste emulsion paint, on wall",Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,137aff2304fe980daa211932a909c2fe,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of bottom ash, MSWI[F]-WWT, condensate from light oil boiler, slag compartment","bottom ash, MSWI[F]-WWT, condensate from light oil boiler",Treatment and disposal of non-hazardous waste,3821," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,5874a27c977b4228a1129ed8b68ae41a,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used capacitor, to hazardous waste incineration, with energy recovery",used capacitor,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c1dd2ca5a1bbafe5b6411742fef51ccc,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of precious metal from electronics scrap, in anode slime, precious metal extraction","precious metal from electronics scrap, in anode slime",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of precious metal,39330,WasteTreatment,Waste treatment & disposal,90b1b11aea0c410ae5afdf79c68c5b83,ordinary transforming activity,SE,-1.0,kilogram,1.0
"treatment of waste concrete, inert material landfill",waste concrete,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,4a8d12bcb978e770df8797862f2c2a05,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of hazardous waste, hazardous waste incineration","hazardous waste, for incineration",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,d06fd2af7527be00ece66080303447c2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint on wood, collection for final disposal",waste paint on wood,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,d55398e3ad4c9bb0262caa21da6986f5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyvinylfluoride, municipal incineration with fly ash extraction",waste polyvinylfluoride,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,1caec5f26084722b9b0dd8027d953fae,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of kitchen and garden biowaste, home composting in heaps and containers","biowaste, kitchen and garden waste",Treatment and disposal of non-hazardous waste,3821, Other wastes and scraps,39900,WasteTreatment,Waste treatment & disposal,5b8ebf6ed7ba4e9362f425207b3b7d72,ordinary transforming activity,FR,-1.0,kilogram,1.0
"treatment of waste brick, sorting plant",waste brick,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,da138a0b6e2f3c0ad1c556ca740e41c7,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of spent pot liner from Al electrolysis, carbon fraction, residual material landfill","spent pot liner from Al electrolysis, carbon fraction",Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,b647f812f99e36bf41306aac483b0c75,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of steel in car shredder residue, municipal incineration with fly ash extraction",steel in car shredder residue,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,8e0f5b1bb1bd38656d8f79f6f65641d3,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used blower and heat exchange unit, decentralized, 180-250 m3/h","used blower and heat exchange unit decentralized, 180-250 m3/h",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,d1e00d769f8881437622b8a13f89d7f3,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of scrap steel, inert material landfill",scrap steel,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,5f61c185016f22497f4915442dc96ae7,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste polyethylene, sanitary landfill",waste polyethylene,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,53e409b5369242b98282310d426320ff,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residues, MSWI-WWT, rainwater mineral oil storage, residual material landfill","residues, MSWI-WWT, rainwater mineral oil storage",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,ba9938f082e424852073ef0376bf0400,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste concrete, not reinforced, recycling","waste concrete, not reinforced",Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,bd2df80be14a9cc2e0681831ea8bd1f6,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste brick, recycling",waste brick,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,63501442efbcc876ceb53ac9ec57d7ac,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of municipal solid waste, sanitary landfill",municipal solid waste,Treatment and disposal of non-hazardous waste,3821, Municipal waste,39910,WasteTreatment,Waste treatment & disposal,553bb2ff431a89f9c1ea63a55a193493,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used toner module, laser printer, colour, recycling","used toner module, laser printer, colour",Manufacture of office machinery and equipment (except computers and periphe,2817, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,cca21e53454a063c1dab222bea41bee6,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste paint, sanitary landfill",waste paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,00af0a7b554b73e46db7a2354a20294f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint, municipal incineration with fly ash extraction",waste paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,3adc72332f95fae4d535b07cc2cef0a3,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste graphical paper, municipal incineration with fly ash extraction",waste graphical paper,Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,22cc313c428b03a8d2e7b428049915c2,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of aluminium scrap, post-consumer, prepared for recycling, at refiner","aluminium scrap, post-consumer, prepared for melting",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,90113b9bd365d634a86c8f3ad3ec2254,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of aluminium scrap, new, at refiner","aluminium scrap, new",Manufacture of basic precious and other non-ferrous metals,2420, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,1522c6f15bb81760059116cdb826c41f,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste aluminium, sanitary landfill",waste aluminium,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,b4157bb0a049b161753a24c176a32ae5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residues, MSWI[F]-WWT, rainwater mineral oil storage, residual material landfill","residues, MSWI[F]-WWT, rainwater mineral oil storage",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,dd4f396daa05fe3555a63214e94b6e3c,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste paint, inert material landfill",waste paint,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,da52fef863aa582007792463e8ff76b8,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of salt tailing from potash mine, residual material landfill",salt tailing from potash mine,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,f719358f48ef8037097e6cddc7b11052,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste mineral oil, hazardous waste incineration",waste mineral oil,Treatment and disposal of hazardous waste,3822, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,ebfac666cc2327799760503c254ea476,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste concrete gravel, recycling",waste concrete gravel,Materials recovery,3830, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,447a6e595fb6c4aa0ceabbba974eef07,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of blast furnace sludge, residual material landfill",blast furnace sludge,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,1ddb401f7a8497b9639ec102e3aec715,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of scrap copper, municipal incineration",scrap copper,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of copper,39361,WasteTreatment,Waste treatment & disposal,318fb3c52870a96cfd7d5a5e1156b698,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used lorry, 16 metric ton","used lorry, 16 metric ton",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,d32dbf138cb2c687fd52c159a086f65d,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used ventilation control and wiring, decentralized unit",used ventilation control and wiring decentralized unit,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,08cec898dc7cba5eebc519e65bbdbdf5,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of used exhaust air roof hood, steel, DN 400","used exhaust air roof hood steel, DN 400",Materials recovery,3830," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,590f007ffb6a7b75b91723bd35dfc3ea,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery",fly ash and scrubber sludge,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,c0a9452052f848880a796f1b43cfd3f7,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste polyurethane, sanitary landfill",waste polyurethane,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,1d8a02f53e8ced1c6ee672919174cee8,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap tin sheet, municipal incineration",scrap tin sheet,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of tin,39366,WasteTreatment,Waste treatment & disposal,24bdd5bc2dcfac8423f576e1a540fa82,ordinary transforming activity,CH,-1.0,kilogram,1.0
treatment of used bus,used bus,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,7ade73221271451073b4abaa0265c2a7,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of hard coal ash, sanitary landfill",hard coal ash,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,d71dba33479ee70153d1501d120abd48,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of residue from mechanical treatment, laptop computer, municipal waste incineration","residue from mechanical treatment, laptop computer",Treatment and disposal of non-hazardous waste,3821, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,c537dbefba44b07e8d8cf7fc01993f7b,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of spent catalytic converter for cars, underground deposit",spent catalytic converter for cars,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,f8d15accfd18cdeaae4aae151e57bd0b,ordinary transforming activity,DE,-1.0,kilogram,1.0
"treatment of inert waste, inert material landfill","inert waste, for final disposal",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,87c1f35f5c67cd25f5e9aee2ee2f988f,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste reinforcement steel, collection for final disposal",waste reinforcement steel,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,ae11ac31adc9e0c95f6fdb5179d092f6,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of municipal solid waste, municipal incineration with fly ash extraction",municipal solid waste,Treatment and disposal of non-hazardous waste,3821, Municipal waste,39910,WasteTreatment,Waste treatment & disposal,d6b84ecbfda64364614012e2603a9c19,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of hard coal ash, municipal incineration with fly ash extraction",hard coal ash,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,35458c5cb4d3c40ea7159a3597130546,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste emulsion paint, hazardous waste incineration, with energy recovery",waste emulsion paint,Treatment and disposal of hazardous waste,3822, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,b259a0906f5cb1805caf09959d2c2247,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of spent catalytic converter NOx reduction, underground deposit",spent catalytic converter NOx reduction,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,2925b3dd30e02c8281c72edf5ea961bb,ordinary transforming activity,DE,-1.0,kilogram,1.0
treatment of used locomotive,used locomotive,Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,bedc82fef76dbeab7dd7449416150a6c,ordinary transforming activity,RER,-1.0,unit,1.0
"treatment of waste concrete, not reinforced, collection for final disposal","waste concrete, not reinforced",Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,13851df4823dd460cf1424cd25565e56,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of residues, MSWI-WWT, WW, average, residual material landfill","residues, MSWI-WWT, WW, average",Treatment and disposal of hazardous waste,3822," Ash and residue (except from the manufacture of iron or steel), containing metals or metallic compounds, except[…]",39320,WasteTreatment,Waste treatment & disposal,fbd64c467c9b0dbee20809df57d0a33a,ordinary transforming activity,Europe without Switzerland,-1.0,kilogram,1.0
"treatment of waste plastic, mixture, municipal incineration with fly ash extraction","waste plastic, mixture",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,d49e90b8aaab84f41f1d189e632b4e91,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of scrap steel, municipal incineration with fly ash extraction",scrap steel,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,76060087fd643f3613af4180cffebce9,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of used train, passenger, regional","used train, passenger, regional",Materials recovery,3830, Other wastes n.e.c.,39990,WasteTreatment,Waste treatment & disposal,f1d6b20da0b08b88868895a4f13e8de1,ordinary transforming activity,CH,-1.0,unit,1.0
"treatment of waste polyurethane, inert material landfill",waste polyurethane,Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,de991a0517672540c23680de1145eba5,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of waste plastic plaster, sanitary landfill","waste plastic plaster, for final disposal",Treatment and disposal of non-hazardous waste,3821," Waste, parings and scrap of plastics",39270,WasteTreatment,Waste treatment & disposal,76307631cda0480dd7509dc98053b288,ordinary transforming activity,CH,-1.0,kilogram,1.0
"treatment of aluminium in car shredder residue, municipal incineration with fly ash extraction",aluminium in car shredder residue,Treatment and disposal of non-hazardous waste,3821, Waste and scrap of aluminium,39363,WasteTreatment,Waste treatment & disposal,2e8900639b17f306093810c317d98184,ordinary transforming activity,CH,-1.0,kilogram,1.0
